"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[286]",1.0709,0.7553,-0.3702,0.5509,1.0541,1.5671,2.6157,1.0009,5000
"theta[287]",1.0563,0.7374,-0.3233,0.5413,1.0148,1.5422,2.6138,1.0009,5000
"theta[288]",0.5042,0.7156,-0.816,-0.0013,0.4712,0.9705,1.9979,1.0013,5000
"theta[289]",0.6059,0.6419,-0.6063,0.1794,0.5806,1.0316,1.8985,1.0008,5000
"theta[290]",0.5689,0.6958,-0.6702,0.0763,0.5244,1.0246,2.0591,1.0009,5000
"theta[291]",0.266,0.6439,-0.9232,-0.1768,0.2441,0.6659,1.6458,1.0012,3800
"theta[292]",0.0469,0.6165,-1.0724,-0.3889,0.0229,0.4544,1.3237,1.0016,1900
"theta[293]",0.8047,0.7411,-0.53,0.2783,0.7572,1.2823,2.4024,1.0008,5000
"theta[294]",-0.8794,0.462,-1.7194,-1.1969,-0.884,-0.5702,0.049,1.0015,2100
"theta[295]",-0.1483,0.5195,-1.1693,-0.5003,-0.1573,0.1971,0.8879,1.0012,3400
"theta[296]",1.0527,0.7611,-0.3908,0.5469,1.0029,1.5179,2.6656,1.0021,5000
"theta[297]",0.5511,0.6486,-0.6464,0.1135,0.5325,0.9654,1.8766,1.0015,2900
"theta[298]",-0.8685,0.4868,-1.8011,-1.202,-0.877,-0.5431,0.1118,1.0013,3100
"theta[299]",0.1687,0.5634,-0.9052,-0.2061,0.1558,0.5276,1.3354,1.0015,2000
"theta[300]",-0.4878,0.504,-1.4538,-0.8408,-0.4857,-0.1522,0.54,1.0012,3800
