"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[307]",-0.4632,0.3449,-1.1477,-0.6874,-0.4601,-0.2371,0.2372,1.0018,1100
"theta[308]",-0.519,0.3667,-1.2501,-0.7605,-0.5193,-0.2739,0.2068,1.0016,1200
"theta[309]",-0.8572,0.3619,-1.5722,-1.0924,-0.842,-0.6161,-0.1592,1.0007,1500
"theta[310]",0.9666,0.4108,0.1968,0.6947,0.9395,1.2255,1.8103,1.0009,1500
"theta[311]",0.486,0.3683,-0.2094,0.2397,0.4714,0.7232,1.2175,1.0018,1100
"theta[312]",1.2422,0.4634,0.3993,0.9122,1.2148,1.5474,2.2167,1.0002,1500
"theta[313]",0.3452,0.3569,-0.3136,0.0972,0.3329,0.5704,1.0945,1.0007,1500
"theta[314]",-0.6386,0.3938,-1.4846,-0.8874,-0.6246,-0.3624,0.1261,1.0019,1000
"theta[315]",1.608,0.5635,0.6166,1.2206,1.562,1.9507,2.7988,1.0003,1500
"theta[316]",0.2589,0.3402,-0.4266,0.0219,0.259,0.4913,0.9191,1.001,1500
"theta[317]",-0.3545,0.3361,-1.0469,-0.5767,-0.3528,-0.1172,0.2931,1.0016,1300
"theta[318]",0.5692,0.3945,-0.1897,0.311,0.5559,0.8383,1.3486,1.0049,410
"theta[319]",0.1371,0.3643,-0.5627,-0.116,0.1379,0.3864,0.8403,1.0043,470
"theta[320]",1.2063,0.4078,0.4608,0.9187,1.2013,1.4659,2.0767,1.0009,1500
"theta[321]",1.2363,0.4179,0.5083,0.9402,1.2218,1.4985,2.1507,1.0036,1100
"theta[322]",0.3176,0.342,-0.3543,0.0928,0.3089,0.5444,1.0231,1.0011,1500
"theta[323]",1.214,0.4098,0.4602,0.9281,1.1956,1.4768,2.0535,1.0056,680
"theta[324]",-1.4826,0.4291,-2.3698,-1.7637,-1.4644,-1.1891,-0.6688,1.0021,960
"theta[325]",-0.3375,0.3528,-1.0032,-0.5736,-0.3446,-0.1029,0.3908,1.0014,1500
"theta[326]",-1.1949,0.4346,-2.053,-1.4939,-1.1895,-0.9009,-0.3713,1.0022,920
"theta[327]",0.0944,0.3279,-0.5331,-0.122,0.0989,0.3114,0.7326,1.0046,730
"theta[328]",0.0221,0.3399,-0.6811,-0.1868,0.0253,0.2477,0.6905,1.0018,1100
"theta[329]",-0.1112,0.3472,-0.7992,-0.3415,-0.1078,0.1222,0.5708,1.0006,1500
"theta[330]",-0.4789,0.3927,-1.2927,-0.7264,-0.4743,-0.2125,0.2275,1.0025,800
"theta[331]",-0.2042,0.3534,-0.9028,-0.447,-0.2016,0.0476,0.478,1.0022,900
"theta[332]",-2.4992,0.5047,-3.5145,-2.836,-2.4858,-2.1585,-1.5246,1.0004,1500
"theta[333]",1.6741,0.5365,0.6899,1.295,1.634,2.0346,2.7408,1.004,1500
"theta[334]",1.6151,0.5787,0.6578,1.2047,1.5665,1.9586,2.9327,1.0004,1500
"theta[335]",-0.4431,0.3719,-1.216,-0.6813,-0.428,-0.1982,0.2745,1.0007,1500
"theta[336]",0.6451,0.3872,-0.092,0.3884,0.6385,0.8972,1.4258,1.0016,1200
"theta[337]",0.249,0.3877,-0.4854,-0.0095,0.2521,0.5122,1.0163,1.0009,1500
"theta[338]",1.5942,0.5159,0.6885,1.2127,1.5667,1.9184,2.7105,1.0074,580
"theta[339]",0.0397,0.3394,-0.6348,-0.1787,0.0366,0.2571,0.6887,1.0006,1500
"theta[340]",1.5665,0.4771,0.7282,1.2285,1.5428,1.8782,2.5695,1.0045,1500
"theta[341]",-0.9606,0.3862,-1.7497,-1.2035,-0.9512,-0.7001,-0.226,1.002,1500
"theta[342]",1.0089,0.425,0.2206,0.716,1.0002,1.266,1.9195,1.0013,1500
"theta[343]",-0.8303,0.3912,-1.6369,-1.0943,-0.8143,-0.5644,-0.1213,1.0018,1500
"theta[344]",-0.693,0.3515,-1.4293,-0.9214,-0.6795,-0.4559,-0.0218,1.0019,1100
"theta[345]",0.7736,0.3821,0.0437,0.5212,0.7579,1.0092,1.5424,1.0007,1500
"theta[346]",0.4098,0.3551,-0.2973,0.1715,0.4083,0.6434,1.1308,1.0014,1500
"theta[347]",-2.5981,0.4984,-3.6003,-2.9459,-2.5673,-2.244,-1.6983,1.0007,1500
"theta[348]",0.109,0.3408,-0.5645,-0.1179,0.1094,0.3345,0.7778,1.0006,1500
"theta[349]",-1.899,0.4423,-2.7634,-2.1889,-1.908,-1.6179,-0.9888,1.0045,450
"theta[350]",0.7511,0.4237,-0.0179,0.466,0.7214,1.0213,1.6125,1.0008,1500
"theta[351]",-0.7918,0.3894,-1.5851,-1.0566,-0.7939,-0.5234,-0.061,1,1500
"theta[352]",0.9162,0.3597,0.2316,0.678,0.8991,1.1356,1.6687,1.0001,1500
"theta[353]",0.7833,0.3489,0.1251,0.5505,0.7808,1.003,1.4666,1.0002,1500
"theta[354]",0.3008,0.3424,-0.3779,0.0691,0.3008,0.5397,0.9833,1.0043,460
"theta[355]",0.6694,0.3507,0.0144,0.4309,0.6609,0.8975,1.3882,1.002,1000
"theta[356]",-1.126,0.3922,-1.9079,-1.3863,-1.1313,-0.8563,-0.381,1.0005,1500
"theta[357]",0.1003,0.3395,-0.5667,-0.1296,0.1047,0.3338,0.7634,1.0005,1500
"theta[358]",-0.1568,0.3721,-0.8858,-0.412,-0.1422,0.1011,0.5443,1.0012,1500
"theta[359]",0.2085,0.3539,-0.4995,-0.0243,0.2004,0.447,0.8968,1.0034,590
"theta[360]",0.0467,0.349,-0.655,-0.1819,0.053,0.2871,0.7168,1.006,340
"theta[361]",-1.4383,0.4188,-2.2248,-1.7398,-1.4328,-1.1598,-0.5989,1.005,400
"theta[362]",-1.1301,0.4151,-1.9842,-1.3972,-1.1009,-0.8438,-0.3678,1,1500
"theta[363]",0.7414,0.3958,-0.0123,0.4844,0.7278,0.9922,1.5305,1.0003,1500
"theta[364]",-0.1408,0.3352,-0.8131,-0.3659,-0.1352,0.0813,0.536,1.0007,1500
